2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
1,New York City,New York,8336817,8175133,+1.98%,301.5 mi2,780.9 km2,28317/mi2,10933/km2,40.6635°N 73.9387°W
2,Los Angeles,California,3979576,3792621,+4.93%,468.7 mi2,1213.9 km2,8484/mi2,3276/km2,34.0194°N 118.4108°W
3,Chicago,Illinois,2693976,2695598,-0.06%,227.3 mi2,588.7 km2,11900/mi2,4600/km2,41.8376°N 87.6818°W
4,Houston,Texas,2320268,2100263,+10.48%,637.5 mi2,1651.1 km2,3613/mi2,1395/km2,29.7866°N 95.3909°W
5,Phoenix,Arizona,1680992,1445632,+16.28%,517.6 mi2,1340.6 km2,3120/mi2,1200/km2,33.5722°N 112.0901°W
6,Philadelphia,Pennsylvania,1584064,1526006,+3.80%,134.2 mi2,347.6 km2,11683/mi2,4511/km2,40.0094°N 75.1333°W
7,San Antonio,Texas,1547253,1327407,+16.56%,461.0 mi2,1194.0 km2,3238/mi2,1250/km2,29.4724°N 98.5251°W
8,San Diego,California,1423851,1307402,+8.91%,325.2 mi2,842.3 km2,4325/mi2,1670/km2,32.8153°N 117.1350°W
9,Dallas,Texas,1343573,1197816,+12.17%,340.9 mi2,882.9 km2,3866/mi2,1493/km2,32.7933°N 96.7665°W
10,San Jose,California,1021795,945942,+8.02%,177.5 mi2,459.7 km2,5777/mi2,2231/km2,37.2967°N 121.8189°W
11,Austin,Texas,978908,790390,+23.85%,312.7 mi2,809.9 km2,3031/mi2,1170/km2,30.3039°N 97.7544°W
12,Jacksonville,Florida,911507,821784,+10.92%,747.4 mi2,1935.8 km2,1178/mi2,455/km2,30.3369°N 81.6616°W
13,Fort Worth,Texas,909585,741206,+22.72%,342.9 mi2,888.1 km2,2491/mi2,962/km2,32.7815°N 97.3467°W
14,Columbus,Ohio,898553,787033,+14.17%,218.5 mi2,565.9 km2,3936/mi2,1520/km2,39.9852°N 82.9848°W
15,Charlotte,North Carolina,885708,731424,+21.09%,305.4 mi2,791.0 km2,2757/mi2,1064/km2,35.2078°N 80.8310°W
16,San Francisco,California,881549,805235,+9.48%,46.9 mi2,121.5 km2,18569/mi2,7170/km2,37.7272°N 123.0322°W
17,Indianapolis,Indiana,876384,820445,+6.82%,361.5 mi2,936.3 km2,2366/mi2,914/km2,39.7767°N 86.1459°W
18,Seattle,Washington,753675,608660,+23.83%,83.8 mi2,217.0 km2,8405/mi2,3245/km2,47.6205°N 122.3509°W
19,Denver,Colorado,727211,600158,+21.17%,153.3 mi2,397.0 km2,4521/mi2,1746/km2,39.7619°N 104.8811°W
20,Washington,District of Columbia,705749,601723,+17.29%,61.1 mi2,158.2 km2,11148/mi2,4304/km2,38.9041°N 77.0172°W
21,Boston,Massachusetts,692600,617594,+12.14%,48.3 mi2,125.1 km2,13938/mi2,5381/km2,42.3320°N 71.0202°W
22,El Paso,Texas,681728,649121,+5.02%,256.8 mi2,665.1 km2,2660/mi2,1030/km2,31.8484°N 106.4270°W
23,Nashville,Tennessee,670820,601222,+11.58%,475.9 mi2,1232.6 km2,1388/mi2,536/km2,36.1718°N 86.7850°W
24,Detroit,Michigan,670031,713777,-6.13%,138.8 mi2,359.5 km2,4847/mi2,1871/km2,42.3830°N 83.1022°W
25,Oklahoma City,Oklahoma,655057,579999,+12.94%,606.3 mi2,1570.3 km2,1053/mi2,407/km2,35.4671°N 97.5137°W
